% The first three columns are year, month and day. The remaining 12 columns are average windspeeds in knots at 12 locations in Ireland on that day.
% Start by using the 'loadtxt' function from numpy to read the data into an array.
63,1,1,15.59,13.62,19.79,8.38,12.25,10.00,23.45,15.71,13.59,14.37,17.58,34.13
0,1,2,13.00,13.92,nan,6.63,10.67,8.54,20.75,11.46,10.75,14.09,12.83,30.75
63,1,3,14.09,8.25,20.12,9.00,9.96,9.67,13.83,10.17,9.00,nan,11.67,27.21
63,1,4,10.29,1.54,6.67,5.21,6.08,5.13,8.54,8.21,nan,11.17,11.54,25.54
63,1,5,7.50,6.04,9.87,3.37,5.96,6.29,13.08,12.46,7.04,11.63,14.96,29.04
63,1,6,19.70,13.75,19.33,10.46,16.96,12.12,20.91,15.67,13.17,12.71,19.08,24.54
63,1,7,18.75,18.12,18.29,8.92,nan,12.46,16.75,11.71,9.87,11.92,14.21,nan
0,1,8,20.67,18.79,nan,7.33,20.41,13.50,16.83,nan,9.67,12.83,15.34,17.41
0,1,9,26.30,20.04,25.66,14.96,nan,16.04,21.67,19.95,16.00,14.58,18.54,25.88
63,1,10,25.58,19.75,24.00,10.41,20.25,12.00,19.38,16.71,12.25,12.33,17.37,26.58
63,1,11,18.84,10.58,16.79,4.25,10.75,6.42,9.79,8.79,5.41,7.46,8.17,10.17
0,1,12,10.04,10.34,8.54,2.08,4.54,1.25,3.96,2.25,2.29,1.58,2.62,4.54
0,1,13,10.00,9.00,7.25,1.87,2.50,0.75,5.21,2.79,2.37,2.50,3.00,9.46
63,1,14,11.92,6.83,nan,4.75,4.33,2.25,10.46,6.54,5.04,6.00,6.63,nan
0,1,15,8.50,3.17,5.41,3.83,7.50,4.63,9.17,5.66,5.88,6.83,9.46,12.58
63,1,16,11.54,9.71,nan,5.41,8.21,nan,12.58,nan,8.83,11.04,12.54,21.25
63,1,17,20.33,12.67,22.42,10.71,14.21,10.63,15.37,12.75,8.92,10.63,11.46,10.71
63,1,18,28.21,16.79,27.21,11.38,16.29,13.83,21.50,13.96,13.13,13.67,17.21,25.80
63,1,19,22.21,15.12,32.25,12.04,19.62,13.42,23.79,nan,15.50,15.59,14.17,27.75
63,1,20,19.00,14.25,20.91,11.00,18.50,15.63,nan,18.88,15.87,14.50,23.04,32.83
63,1,21,19.25,nan,17.21,9.17,15.59,9.42,13.83,11.71,11.08,14.25,12.96,23.04
0,1,22,17.16,12.04,14.33,6.13,13.62,10.50,11.92,8.75,4.58,7.87,10.79,13.79
0,1,23,14.04,11.42,11.50,5.41,11.29,7.71,2.17,7.08,5.66,5.04,7.21,14.67
