% The first three columns are year, month and day. The remaining 12 columns are average windspeeds in knots at 12 locations in Ireland on that day.
% Start by using the 'loadtxt' function from numpy to read the data into an array.
68,1,1,30.04,17.88,16.25,16.25,21.79,12.54,18.16,16.62,18.75,17.62,22.25,27.29
0,1,2,12.92,12.75,13.21,10.54,13.83,8.63,12.67,10.21,11.04,9.59,15.25,22.04
68,1,3,18.91,13.37,13.46,12.50,14.83,10.58,nan,11.17,14.88,13.00,16.29,27.42
0,1,4,9.25,10.17,7.87,3.58,11.96,7.25,7.71,7.00,5.96,5.71,13.08,13.42
0,1,5,15.79,15.96,11.29,5.79,11.67,4.58,9.75,5.83,7.79,6.71,9.21,13.42
68,1,6,12.92,12.50,13.42,7.25,11.92,5.13,nan,nan,5.66,5.46,6.50,13.92
0,1,7,8.67,7.79,9.54,3.96,8.08,2.33,7.12,3.88,3.75,2.58,5.96,nan
68,1,8,16.54,15.87,18.29,9.33,14.96,11.50,18.00,9.17,nan,12.46,14.46,28.08
0,1,9,17.67,16.62,20.17,10.13,14.71,7.92,14.88,10.37,10.96,8.54,11.42,23.58
68,1,10,5.29,nan,7.17,1.58,4.63,2.62,10.96,2.21,4.67,5.46,7.25,16.88
68,1,11,5.04,4.71,5.37,0.75,7.50,1.79,4.42,4.38,0.71,1.96,6.29,10.92
68,1,12,12.12,9.96,13.59,6.58,11.79,9.62,10.00,8.08,9.33,10.00,10.88,21.54
68,1,13,15.92,13.67,16.92,6.96,9.87,6.29,10.00,8.46,7.17,9.25,14.67,19.58
68,1,14,30.29,22.21,24.00,14.50,22.54,14.00,22.04,20.58,nan,18.66,24.96,23.16
68,1,15,15.41,nan,12.79,11.58,16.42,10.71,19.41,13.83,15.50,14.25,19.70,29.04
68,1,16,24.92,22.25,21.00,14.37,17.29,nan,15.54,14.37,12.04,10.58,16.66,14.96
68,1,17,15.54,15.50,11.50,12.21,nan,10.63,20.12,13.17,15.59,13.33,17.71,23.13
68,1,18,14.54,14.71,13.75,8.75,17.96,10.21,16.42,12.50,14.17,11.04,20.79,20.08
68,1,19,9.79,14.09,10.25,4.88,10.75,6.42,8.08,11.79,7.25,9.42,23.04,17.96
68,1,20,7.58,8.63,7.21,1.21,6.25,2.29,3.46,5.21,1.00,2.58,12.17,13.37
68,1,21,4.96,5.25,3.00,0.08,4.63,0.04,nan,0.58,0.46,1.33,1.87,4.79
68,1,22,7.21,4.67,3.08,0.92,4.21,0.17,0.54,1.33,0.67,2.04,6.58,6.17
68,1,23,8.00,7.21,6.42,3.92,4.75,2.62,8.75,nan,5.83,6.21,11.96,21.04
68,1,24,17.41,9.83,7.83,nan,10.08,nan,nan,nan,10.41,11.00,13.70,23.50
68,1,25,25.12,12.04,14.75,12.83,14.88,7.46,19.79,14.75,16.71,12.87,17.33,22.58
68,1,26,14.17,9.96,9.00,8.08,11.12,7.79,14.50,10.17,nan,10.21,16.38,20.75
0,1,27,13.83,11.34,11.12,6.34,12.38,6.38,12.29,6.71,10.41,9.50,15.34,20.00
0,1,28,7.79,7.21,8.33,4.00,6.63,2.92,8.75,4.25,5.75,6.38,13.50,17.62
68,1,29,15.75,16.83,13.79,7.87,13.00,9.96,17.62,13.59,12.08,13.25,23.09,25.84
68,1,30,22.67,21.92,18.75,14.29,14.88,9.67,16.92,11.83,12.42,13.92,15.09,11.71
